tag,inital
403GL0EV709,1
403GLBL01A,1
403GLBL01B,2
403GL0EV706,1
407ED0EV021,2
403ARS0EV013,1
403ARS0BPZIC013,2
403ARS0EV010,1
403ARS0EV011,1
403ARS0EV005,1
403ARS0EV008,1
403ARS0EV015,1
403ARS0EV012,1
403ARS0PIC049OP,0
403ARS0PIC049PV,23.4888
403ARS0PIC049SP,24.7
403ARS0PIC049TV,0.0
403ARS0PIC049CAS,0.0
403ARS0PIC049KC,5
403ARS0PIC049TI,1
403ARS0PIC049OPM,0
403ARS0PIC049OPL,0.0
403ARS0PIC049OPH,100.0
403ARS0TIC012OP,50
403ARS0TIC012PV,40.0247
403ARS0TIC012SP,39.9983
403ARS0TIC012TV,1
403ARS0TIC012CAS,0.0
403ARS0TIC012KC,2.5
403ARS0TIC012TI,0.8
403ARS0TIC012OPM,50
403ARS0TIC012OPL,0.0
403ARS0TIC012OPH,100.0
0LIC011OP,38.2769
0LIC011PV,10
0LIC011SP,68.9873
0LIC011TV,0.0
0LIC011CAS,0.0
0LIC011KC,2
0LIC011TI,0.5
0LIC011OPM,36.2783
0LIC011OPL,0.0
0LIC011OPH,100.0
407ES0LIC011BOP,50
407ES0LIC011BPV,52.5182
407ES0LIC011BSP,52.5182
407ES0LIC011BTV,0.0
407ES0LIC011BCAS,0.0
407ES0LIC011BKC,2
407ES0LIC011BTI,20
407ES0LIC011BOPM,50
407ES0LIC011BOPL,0.0
407ES0LIC011BOPH,100.0
0LIC010LOP,38.2769
0LIC010LPV,10
0LIC010LSP,68.9873
0LIC010LTV,0.0
0LIC010LCAS,0.0
0LIC010LKC,2
0LIC010LTI,0.5
0LIC010LOPM,36.2783
0LIC010LOPL,0.0
0LIC010LOPH,100.0
0LIC010ROP,38.2769
0LIC010RPV,10
0LIC010RSP,68.9873
0LIC010RTV,0.0
0LIC010RCAS,0.0
0LIC010RKC,2
0LIC010RTI,0.5
0LIC010ROPM,36.2783
0LIC010ROPL,0.0
0LIC010ROPH,100.0
0LIC003OP,38.2769
0LIC003PV,10
0LIC003SP,68.9873
0LIC003TV,0.0
0LIC003CAS,0.0
0LIC003KC,2
0LIC003TI,0.5
0LIC003OPM,36.2783
0LIC003OPL,0.0
0LIC003OPH,100.0
403ARS0LIC023OP,50
403ARS0LIC023PV,43.9021
403ARS0LIC023SP,43.9021
403ARS0LIC023TV,0.0
403ARS0LIC023CAS,0.0
403ARS0LIC023KC,2
403ARS0LIC023TI,999
403ARS0LIC023OPM,50
403ARS0LIC023OPL,0.0
403ARS0LIC023OPH,100.0
403ARS0TIC040OP,50
403ARS0TIC040PV,45
403ARS0TIC040SP,45.0
403ARS0TIC040TV,0.0
403ARS0TIC040CAS,0.0
403ARS0TIC040KC,3
403ARS0TIC040TI,1
403ARS0TIC040OPM,50
403ARS0TIC040OPL,0.0
403ARS0TIC040OPH,100.0
407ES0PIC007BOP,0
407ES0PIC007BPV,6.97663
407ES0PIC007BSP,8
407ES0PIC007BTV,0.0
407ES0PIC007BCAS,0.0
407ES0PIC007BKC,4
407ES0PIC007BTI,0.5
407ES0PIC007BOPM,0
407ES0PIC007BOPL,0.0
407ES0PIC007BOPH,100.0
403ARS0LI010,1.91375
403ARS0LI019,11.4514
403ARS0TI033,39.7926
403ARS0TI042,40.4824
403ARS0AI001,3.14442
403ARS0LI023,2
0LIC010L,2
403ARS0BP021,2
403ARS0FI002,82864.1
403ARS0TI015,251.386
403ARS0FI007,42256.9
403ARS0TI021,249.933
403ARS0PDI002A,0.715599
403ARS0PDI002B,0.715599
403ARS0BV004,2
407ES0BV004B,2
407ES0EV001,1
403ARS0E001FA01A,1
403ARS0E001FA01B,1
403ARS0E001FA02A,1
403ARS0E001FA02B,1
403ARS0E001FA03A,1
403ARS0E001FA03B,1
403ARS0E001FA04A,1
403ARS0E001FA04B,1
403ARS0TI009,40.0247
0TIC012OP,38.2769
0TIC012PV,10
0TIC012SP,68.9873
0TIC012TV,0.0
0TIC012CAS,0.0
0TIC012KC,2
0TIC012TI,0.5
0TIC012OPM,36.2783
0TIC012OPL,0.0
0TIC012OPH,100.0
403ARS0TIC011OP,50
403ARS0TIC011PV,58.0566
403ARS0TIC011SP,58.0565
403ARS0TIC011TV,0.0
403ARS0TIC011CAS,0.0
403ARS0TIC011KC,47
